Module Information,Section 1,Section 2,Section 3,,
Group theory,"Groups, subgroup, examples",Permutation groups,Composition and other series,,
Math60036,largest subgroup,right group action,p-group,,
3,The second isomorphism theorem,action,p-element,,
1,Diamond theorem,G-set,p-subgroup,,
3,The third isomorphism theorem,trivial action,Sylow p-subgroups,,
,The fourth isomorphism theorem,faithful action,lagrange theorem,,
,centraliser,cayley's theorem,conjugacy class,,
,centre,orbit,cauchy's theorem,,
,normaliser,stabiliser,sylow theorem,,
,N/C Theorem,Orbit-stabiliser theorem,first sylow's theorem,,
,simple group,transitively,second sylow's theorem,,
,direct product,transitive action,third sylow's theorem,,
,group of integers,similar actions,frattini's argument,,
,symmetric group,right regular representation,upper central series,,
,general linear group,regular action,nilpotent group,,
,quaternion group,block,nilpotency class,,
,semiproduct,primitive group,central series,,
,external direct group,imprimitive group,lower central series,,
,subdirect product,maximal subgroup,heisenberg group,,
,central product,k-transitive action,adjoint action,,
,monocyclic group,intransitive action,homomorphic image,,
,elementary abelian group,induced action,characteristic subgroup,,
,p-group,strict k-transitive,Nilpotent groups' Theorem,,
,Keywords (Prerequisite),Keywords (Prerequisite),composition series,,
,group,Skills (Taught),composition factors,,
,commutative,Working with actions,Jordan-Holder Theorem,,
,abelian group,Seeing groups as automorphisms,composition length,,
,order,Skills (Prerequisite),solvable group,,
,subgroup,,commutator subgroup,,
,subgroup generated by a subset,,abelianisation,,
,cosets,,derived series,,
,index,,alternating group,,
,lagrange's theorem,,centreless group,,
,normality,,complete centreless group,,
,quotient group,,complete group,,
,homomorphism,,outer automorphism,,
,image,,galois field,,
,kernel,,special linear group,,
,isomorphism,,maximal flag,,
,first isomoprhism theorem,,flag,,
,Skills (Taught),,Keywords (Prerequisite),,
,Skills (Prerequisite),,Skills (Taught),,
,,,generating groups from sylow's theorem,,
,,,In depth analysis of symmetric groups,,
,,,Skills (Prerequisite),,
